,MESS_DATUM,GS_10
364,202111181900,0.0
365,202111181915,0.0
366,202111181930,0.0
367,202111181945,0.0
368,202111182000,0.0
369,202111182015,0.0
370,202111182030,0.0
371,202111182045,0.0
372,202111182100,0.0
373,202111182115,0.0
374,202111182130,0.0
375,202111182145,0.0
376,202111182200,0.0
377,202111182215,0.0
378,202111182230,0.0
379,202111182245,0.0
380,202111182300,0.0
381,202111182315,0.0
382,202111182330,0.0
383,202111182345,0.0
384,202111190000,0.0
385,202111190015,0.0
386,202111190030,0.0
387,202111190045,0.0
388,202111190100,0.0
389,202111190115,0.0
390,202111190130,0.0
391,202111190145,0.0
392,202111190200,0.0
393,202111190215,0.0
394,202111190230,0.0
395,202111190245,0.0
396,202111190300,0.0
397,202111190315,0.0
398,202111190330,0.0
399,202111190345,0.0
400,202111190400,0.0
401,202111190415,0.0
402,202111190430,0.0
403,202111190445,0.0
404,202111190500,0.0
405,202111190515,0.0
406,202111190530,0.0
407,202111190545,0.0
408,202111190600,0.0
409,202111190615,0.0
410,202111190630,0.0
411,202111190645,0.05
412,202111190700,0.15000000000000002
413,202111190715,0.30000000000000004
414,202111190730,0.5
415,202111190745,0.85
416,202111190800,0.95
417,202111190815,1.15
418,202111190830,1.85
419,202111190845,2.95
420,202111190900,3.9499999999999997
421,202111190915,2.7
422,202111190930,3.7
423,202111190945,4.7
424,202111191000,4.6
425,202111191015,4.199999999999999
426,202111191030,3.2
427,202111191045,3.4000000000000004
428,202111191100,3.5999999999999996
429,202111191115,3.4000000000000004
430,202111191130,3.5
431,202111191145,3.95
432,202111191200,5.55
433,202111191215,6.1
434,202111191230,6.0
435,202111191245,4.65
436,202111191300,4.35
437,202111191315,3.8
438,202111191330,5.0
439,202111191345,3.35
440,202111191400,3.85
441,202111191415,3.1
442,202111191430,2.3
443,202111191445,1.05
444,202111191500,0.55
445,202111191515,0.25
446,202111191530,0.05
447,202111191545,0.0
448,202111191600,0.0
449,202111191615,0.0
450,202111191630,0.0
451,202111191645,0.0
452,202111191700,0.0
453,202111191715,0.0
454,202111191730,0.0
455,202111191745,0.0
456,202111191800,0.0
457,202111191815,0.0
458,202111191830,0.0
459,202111191845,0.0
460,202111191900,0.0
461,202111191915,0.0
462,202111191930,0.0
463,202111191945,0.0
464,202111192000,0.0
465,202111192015,0.0
466,202111192030,0.0
467,202111192045,0.0
468,202111192100,0.0
469,202111192115,0.0
470,202111192130,0.0
471,202111192145,0.0
472,202111192200,0.0
473,202111192215,0.0
474,202111192230,0.0
475,202111192245,0.0
476,202111192300,0.0
477,202111192315,0.0
478,202111192330,0.0
479,202111192345,0.0
480,202111200000,0.0
481,202111200015,0.0
482,202111200030,0.0
483,202111200045,0.0
484,202111200100,0.0
485,202111200115,0.0
486,202111200130,0.0
487,202111200145,0.0
488,202111200200,0.0
489,202111200215,0.0
490,202111200230,0.0
491,202111200245,0.0
492,202111200300,0.0
493,202111200315,0.0
494,202111200330,0.0
495,202111200345,0.0
496,202111200400,0.0
497,202111200415,0.0
498,202111200430,0.0
499,202111200445,0.0
500,202111200500,0.0
501,202111200515,0.0
502,202111200530,0.0
503,202111200545,0.0
504,202111200600,0.0
505,202111200615,0.0
506,202111200630,0.0
507,202111200645,0.15000000000000002
508,202111200700,0.25
509,202111200715,0.7
510,202111200730,1.1
511,202111200745,2.25
512,202111200800,2.65
513,202111200815,3.25
514,202111200830,3.85
515,202111200845,6.85
516,202111200900,10.95
517,202111200915,10.4
518,202111200930,8.8
519,202111200945,9.0
520,202111201000,8.7
521,202111201015,10.55
522,202111201030,11.25
523,202111201045,10.100000000000001
524,202111201100,11.0
525,202111201115,9.35
526,202111201130,10.65
527,202111201145,10.95
528,202111201200,9.95
529,202111201215,5.25
530,202111201230,4.85
531,202111201245,4.65
532,202111201300,3.5500000000000003
533,202111201315,2.5
534,202111201330,2.3
535,202111201345,1.4500000000000002
536,202111201400,1.6500000000000001
537,202111201415,1.2
538,202111201430,0.6
539,202111201445,0.30000000000000004
540,202111201500,0.2
541,202111201515,0.1
542,202111201530,0.0
543,202111201545,0.0
544,202111201600,0.0
545,202111201615,0.0
546,202111201630,0.0
547,202111201645,0.0
548,202111201700,0.0
549,202111201715,0.0
550,202111201730,0.0
551,202111201745,0.0
552,202111201800,0.0
553,202111201815,0.0
554,202111201830,0.0
555,202111201845,0.0
556,202111201900,0.0
557,202111201915,0.0
558,202111201930,0.0
559,202111201945,0.0
560,202111202000,0.0
561,202111202015,0.0
562,202111202030,0.0
563,202111202045,0.0
564,202111202100,0.0
565,202111202115,0.0
566,202111202130,0.0
567,202111202145,0.0
568,202111202200,0.0
569,202111202215,0.0
570,202111202230,0.0
571,202111202245,0.0
572,202111202300,0.0
573,202111202315,0.0
574,202111202330,0.0
575,202111202345,0.0
576,202111210000,0.0
577,202111210015,0.0
578,202111210030,0.0
579,202111210045,0.0
580,202111210100,0.0
581,202111210115,0.0
582,202111210130,0.0
583,202111210145,0.0
584,202111210200,0.0
585,202111210215,0.0
586,202111210230,0.0
587,202111210245,0.0
588,202111210300,0.0
589,202111210315,0.0
590,202111210330,0.0
591,202111210345,0.0
592,202111210400,0.0
593,202111210415,0.0
594,202111210430,0.0
595,202111210445,0.0
596,202111210500,0.0
597,202111210515,0.0
598,202111210530,0.0
599,202111210545,0.0
600,202111210600,0.0
601,202111210615,0.0
602,202111210630,0.0
603,202111210645,0.0
604,202111210700,0.1
605,202111210715,1.05
606,202111210730,2.35
607,202111210745,3.5999999999999996
608,202111210800,3.5999999999999996
609,202111210815,5.05
610,202111210830,6.05
611,202111210845,8.5
612,202111210900,8.8
613,202111210915,10.05
614,202111210930,14.25
615,202111210945,19.15
616,202111211000,20.75
617,202111211015,19.25
618,202111211030,12.05
619,202111211045,15.549999999999999
620,202111211100,18.75
621,202111211115,21.75
622,202111211130,21.45
623,202111211145,19.8
624,202111211200,19.5
625,202111211215,18.9
626,202111211230,18.4
627,202111211245,18.35
628,202111211300,13.05
629,202111211315,7.25
630,202111211330,7.45
631,202111211345,2.9000000000000004
632,202111211400,2.9000000000000004
633,202111211415,2.3
634,202111211430,1.9
635,202111211445,0.6
636,202111211500,0.2
637,202111211515,0.1
638,202111211530,0.0
639,202111211545,0.0
640,202111211600,0.0
641,202111211615,0.0
642,202111211630,0.0
643,202111211645,0.0
644,202111211700,0.0
645,202111211715,0.0
646,202111211730,0.0
647,202111211745,0.0
648,202111211800,0.0
649,202111211815,0.0
650,202111211830,0.0
651,202111211845,0.0
652,202111211900,0.0
653,202111211915,0.0
654,202111211930,0.0
655,202111211945,0.0
656,202111212000,0.0
657,202111212015,0.0
658,202111212030,0.0
659,202111212045,0.0
660,202111212100,0.0
661,202111212115,0.0
662,202111212130,0.0
663,202111212145,0.0
664,202111212200,0.0
665,202111212215,0.0
666,202111212230,0.0
667,202111212245,0.0
668,202111212300,0.0
669,202111212315,0.0
670,202111212330,0.0
671,202111212345,0.0
672,202111220000,0.0
673,202111220015,0.0
674,202111220030,0.0
675,202111220045,0.0
676,202111220100,0.0
677,202111220115,0.0
678,202111220130,0.0
679,202111220145,0.0
680,202111220200,0.0
681,202111220215,0.0
682,202111220230,0.0
683,202111220245,0.0
684,202111220300,0.0
685,202111220315,0.0
686,202111220330,0.0
687,202111220345,0.0
688,202111220400,0.0
689,202111220415,0.0
690,202111220430,0.0
691,202111220445,0.0
692,202111220500,0.0
693,202111220515,0.0
694,202111220530,0.0
695,202111220545,0.0
696,202111220600,0.0
697,202111220615,0.0
698,202111220630,0.0
699,202111220645,0.05
700,202111220700,0.35
701,202111220715,1.2
702,202111220730,2.6
703,202111220745,5.05
704,202111220800,6.95
705,202111220815,8.899999999999999
706,202111220830,10.899999999999999
707,202111220845,13.1
708,202111220900,14.7
709,202111220915,16.55
710,202111220930,17.85
711,202111220945,19.25
712,202111221000,20.15
713,202111221015,21.15
714,202111221030,21.450000000000003
715,202111221045,22.25
716,202111221100,22.35
717,202111221115,22.3
718,202111221130,22.9
719,202111221145,13.149999999999999
720,202111221200,13.95
721,202111221215,16.6
722,202111221230,17.2
723,202111221245,15.0
724,202111221300,11.8
725,202111221315,8.55
726,202111221330,11.149999999999999
727,202111221345,10.1
728,202111221400,8.3
729,202111221415,6.0
730,202111221430,4.2
731,202111221445,2.2
732,202111221500,0.9
733,202111221515,0.25
734,202111221530,0.05
735,202111221545,0.0
736,202111221600,0.0
737,202111221615,0.0
738,202111221630,0.0
739,202111221645,0.0
740,202111221700,0.0
741,202111221715,0.0
742,202111221730,0.0
743,202111221745,0.0
744,202111221800,0.0
745,202111221815,0.0
746,202111221830,0.0
747,202111221845,0.0
748,202111221900,0.0
749,202111221915,0.0
750,202111221930,0.0
751,202111221945,0.0
752,202111222000,0.0
753,202111222015,0.0
754,202111222030,0.0
755,202111222045,0.0
756,202111222100,0.0
757,202111222115,0.0
758,202111222130,0.0
759,202111222145,0.0
760,202111222200,0.0
761,202111222215,0.0
762,202111222230,0.0
763,202111222245,0.0
764,202111222300,0.0
765,202111222315,0.0
766,202111222330,0.0
767,202111222345,0.0
768,202111230000,0.0
769,202111230015,0.0
770,202111230030,0.0
771,202111230045,0.0
772,202111230100,0.0
773,202111230115,0.0
774,202111230130,0.0
775,202111230145,0.0
776,202111230200,0.0
777,202111230215,0.0
778,202111230230,0.0
779,202111230245,0.0
780,202111230300,0.0
781,202111230315,0.0
782,202111230330,0.0
783,202111230345,0.0
784,202111230400,0.0
785,202111230415,0.0
786,202111230430,0.0
787,202111230445,0.0
788,202111230500,0.0
789,202111230515,0.0
790,202111230530,0.0
791,202111230545,0.0
792,202111230600,0.0
793,202111230615,0.0
794,202111230630,0.0
795,202111230645,0.05
796,202111230700,0.15000000000000002
797,202111230715,0.5
798,202111230730,0.8
799,202111230745,1.4500000000000002
800,202111230800,2.1500000000000004
801,202111230815,2.55
802,202111230830,3.25
803,202111230845,5.0
804,202111230900,4.2
805,202111230915,3.7
806,202111230930,3.2
807,202111230945,4.55
808,202111231000,5.15
809,202111231015,5.75
810,202111231030,7.050000000000001
811,202111231045,8.05
812,202111231100,8.85
813,202111231115,9.899999999999999
814,202111231130,8.5
815,202111231145,7.5
816,202111231200,9.7
817,202111231215,7.0
818,202111231230,10.8
819,202111231245,9.2
820,202111231300,8.1
821,202111231315,6.75
822,202111231330,4.55
823,202111231345,3.6500000000000004
824,202111231400,2.55
825,202111231415,2.15
826,202111231430,1.75
827,202111231445,1.25
828,202111231500,0.75
829,202111231515,0.25
830,202111231530,0.05
831,202111231545,0.0
832,202111231600,0.0
833,202111231615,0.0
834,202111231630,0.0
835,202111231645,0.0
836,202111231700,0.0
837,202111231715,0.0
838,202111231730,0.0
839,202111231745,0.0
840,202111231800,0.0
841,202111231815,0.0
842,202111231830,0.0
843,202111231845,0.0
844,202111231900,0.0
845,202111231915,0.0
846,202111231930,0.0
847,202111231945,0.0
848,202111232000,0.0
849,202111232015,0.0
850,202111232030,0.0
851,202111232045,0.0
852,202111232100,0.0
853,202111232115,0.0
854,202111232130,0.0
855,202111232145,0.0
856,202111232200,0.0
857,202111232215,0.0
858,202111232230,0.0
859,202111232245,0.0
860,202111232300,0.0
861,202111232315,0.0
862,202111232330,0.0
863,202111232345,0.0
864,202111240000,0.0
865,202111240015,0.0
866,202111240030,0.0
867,202111240045,0.0
868,202111240100,0.0
869,202111240115,0.0
870,202111240130,0.0
871,202111240145,0.0
872,202111240200,0.0
873,202111240215,0.0
874,202111240230,0.0
875,202111240245,0.0
876,202111240300,0.0
877,202111240315,0.0
878,202111240330,0.0
879,202111240345,0.0
880,202111240400,0.0
881,202111240415,0.0
882,202111240430,0.0
883,202111240445,0.0
884,202111240500,0.0
885,202111240515,0.0
886,202111240530,0.0
887,202111240545,0.0
888,202111240600,0.0
889,202111240615,0.0
890,202111240630,0.0
891,202111240645,0.0
892,202111240700,0.1
893,202111240715,0.4
894,202111240730,0.6000000000000001
895,202111240745,0.4
896,202111240800,0.8999999999999999
897,202111240815,2.4
898,202111240830,2.7
899,202111240845,3.0
900,202111240900,3.8
901,202111240915,4.25
902,202111240930,4.05
903,202111240945,5.1
904,202111241000,5.8
905,202111241015,8.3
906,202111241030,8.7
907,202111241045,8.05
908,202111241100,8.65
909,202111241115,10.0
910,202111241130,11.5
911,202111241145,8.85
912,202111241200,10.95
913,202111241215,4.4
914,202111241230,5.4
915,202111241245,8.15
916,202111241300,4.15
917,202111241315,2.6
918,202111241330,3.5
919,202111241345,3.0
920,202111241400,2.1
921,202111241415,1.55
922,202111241430,1.4500000000000002
923,202111241445,1.0
924,202111241500,0.4
925,202111241515,0.15000000000000002
926,202111241530,0.05
927,202111241545,0.0
928,202111241600,0.0
929,202111241615,0.0
930,202111241630,0.0
931,202111241645,0.0
932,202111241700,0.0
933,202111241715,0.0
934,202111241730,0.0
935,202111241745,0.0
936,202111241800,0.0
937,202111241815,0.0
938,202111241830,0.0
939,202111241845,0.0
940,202111241900,0.0
941,202111241915,0.0
942,202111241930,0.0
943,202111241945,0.0
944,202111242000,0.0
945,202111242015,0.0
946,202111242030,0.0
947,202111242045,0.0
948,202111242100,0.0
949,202111242115,0.0
950,202111242130,0.0
951,202111242145,0.0
952,202111242200,0.0
953,202111242215,0.0
954,202111242230,0.0
955,202111242245,0.0
956,202111242300,0.0
957,202111242315,0.0
958,202111242330,0.0
959,202111242345,0.0
960,202111250000,0.0
961,202111250015,0.0
962,202111250030,0.0
963,202111250045,0.0
964,202111250100,0.0
965,202111250115,0.0
966,202111250130,0.0
967,202111250145,0.0
968,202111250200,0.0
969,202111250215,0.0
970,202111250230,0.0
971,202111250245,0.0
972,202111250300,0.0
973,202111250315,0.0
974,202111250330,0.0
975,202111250345,0.0
976,202111250400,0.0
977,202111250415,0.0
978,202111250430,0.0
979,202111250445,0.0
980,202111250500,0.0
981,202111250515,0.0
982,202111250530,0.0
983,202111250545,0.0
984,202111250600,0.0
985,202111250615,0.0
986,202111250630,0.0
987,202111250645,0.05
988,202111250700,0.15000000000000002
989,202111250715,0.35
990,202111250730,0.65
991,202111250745,1.0
992,202111250800,1.4
993,202111250815,2.25
994,202111250830,3.45
995,202111250845,5.65
996,202111250900,6.95
997,202111250915,10.0
998,202111250930,9.600000000000001
999,202111250945,8.850000000000001
1000,202111251000,9.350000000000001
1001,202111251015,8.649999999999999
1002,202111251030,7.85
1003,202111251045,10.25
1004,202111251100,8.55
1005,202111251115,5.75
1006,202111251130,4.65
1007,202111251145,4.4
1008,202111251200,3.7
1009,202111251215,2.5
1010,202111251230,2.3
1011,202111251245,2.05
1012,202111251300,2.35
1013,202111251315,1.65
1014,202111251330,2.15
1015,202111251345,2.7
1016,202111251400,2.0999999999999996
1017,202111251415,1.9
1018,202111251430,1.6
1019,202111251445,0.8999999999999999
1020,202111251500,0.4
1021,202111251515,0.1
1022,202111251530,0.0
1023,202111251545,0.0
1024,202111251600,0.0
1025,202111251615,0.0
1026,202111251630,0.0
1027,202111251645,0.0
1028,202111251700,0.0
1029,202111251715,0.0
1030,202111251730,0.0
1031,202111251745,0.0
1032,202111251800,0.0
1033,202111251815,0.0
1034,202111251830,0.0
1035,202111251845,0.0
1036,202111251900,0.0
1037,202111251915,0.0
1038,202111251930,0.0
1039,202111251945,0.0
1040,202111252000,0.0
1041,202111252015,0.0
1042,202111252030,0.0
1043,202111252045,0.0
1044,202111252100,0.0
1045,202111252115,0.0
1046,202111252130,0.0
1047,202111252145,0.0
1048,202111252200,0.0
1049,202111252215,0.0
1050,202111252230,0.0
1051,202111252245,0.0
1052,202111252300,0.0
1053,202111252315,0.0
1054,202111252330,0.0
1055,202111252345,0.0
1056,202111260000,0.0
1057,202111260015,0.0
1058,202111260030,0.0
1059,202111260045,0.0
1060,202111260100,0.0
1061,202111260115,0.0
1062,202111260130,0.0
1063,202111260145,0.0
1064,202111260200,0.0
1065,202111260215,0.0
1066,202111260230,0.0
1067,202111260245,0.0
1068,202111260300,0.0
1069,202111260315,0.0
1070,202111260330,0.0
1071,202111260345,0.0
1072,202111260400,0.0
1073,202111260415,0.0
1074,202111260430,0.0
1075,202111260445,0.0
1076,202111260500,0.0
1077,202111260515,0.0
1078,202111260530,0.0
1079,202111260545,0.0
1080,202111260600,0.0
1081,202111260615,0.0
1082,202111260630,0.0
1083,202111260645,0.05
1084,202111260700,0.25
1085,202111260715,0.4
1086,202111260730,0.8
1087,202111260745,1.25
1088,202111260800,1.75
1089,202111260815,2.3
1090,202111260830,2.3
1091,202111260845,2.8
1092,202111260900,3.5
1093,202111260915,4.8
1094,202111260930,5.3
1095,202111260945,4.5
1096,202111261000,4.7
1097,202111261015,4.7
1098,202111261030,5.0
1099,202111261045,3.7
1100,202111261100,3.5
1101,202111261115,4.7
1102,202111261130,6.199999999999999
1103,202111261145,5.85
1104,202111261200,4.25
1105,202111261215,4.3
1106,202111261230,4.5
1107,202111261245,3.95
1108,202111261300,3.55
1109,202111261315,2.4
1110,202111261330,2.0
1111,202111261345,1.6
1112,202111261400,1.3
1113,202111261415,1.25
1114,202111261430,0.85
1115,202111261445,0.5
1116,202111261500,0.2
1117,202111261515,0.15000000000000002
1118,202111261530,0.05
1119,202111261545,0.0
1120,202111261600,0.0
1121,202111261615,0.0
1122,202111261630,0.0
1123,202111261645,0.0
1124,202111261700,0.0
1125,202111261715,0.0
1126,202111261730,0.0
1127,202111261745,0.0
1128,202111261800,0.0
1129,202111261815,0.0
1130,202111261830,0.0
1131,202111261845,0.0
1132,202111261900,0.0
1133,202111261915,0.0
1134,202111261930,0.0
1135,202111261945,0.0
1136,202111262000,0.0
1137,202111262015,0.0
1138,202111262030,0.0
1139,202111262045,0.0
1140,202111262100,0.0
1141,202111262115,0.0
1142,202111262130,0.0
1143,202111262145,0.0
1144,202111262200,0.0
1145,202111262215,0.0
1146,202111262230,0.0
1147,202111262245,0.0
1148,202111262300,0.0
1149,202111262315,0.0
1150,202111262330,0.0
1151,202111262345,0.0
1152,202111270000,0.0
1153,202111270015,0.0
1154,202111270030,0.0
1155,202111270045,0.0
1156,202111270100,0.0
1157,202111270115,0.0
1158,202111270130,0.0
1159,202111270145,0.0
1160,202111270200,0.0
1161,202111270215,0.0
1162,202111270230,0.0
1163,202111270245,0.0
1164,202111270300,0.0
1165,202111270315,0.0
1166,202111270330,0.0
1167,202111270345,0.0
1168,202111270400,0.0
1169,202111270415,0.0
1170,202111270430,0.0
1171,202111270445,0.0
1172,202111270500,0.0
1173,202111270515,0.0
1174,202111270530,0.0
1175,202111270545,0.0
1176,202111270600,0.0
1177,202111270615,0.0
1178,202111270630,0.0
1179,202111270645,0.05
1180,202111270700,0.35
1181,202111270715,0.65
1182,202111270730,0.85
1183,202111270745,1.65
1184,202111270800,2.15
1185,202111270815,1.7
1186,202111270830,2.2
1187,202111270845,2.25
1188,202111270900,2.35
1189,202111270915,3.0
1190,202111270930,2.8
1191,202111270945,2.9
1192,202111271000,4.2
1193,202111271015,6.2
1194,202111271030,12.7
1195,202111271045,9.45
1196,202111271100,8.55
1197,202111271115,7.9
1198,202111271130,8.8
1199,202111271145,7.6
1200,202111271200,5.1
1201,202111271215,3.15
1202,202111271230,2.25
1203,202111271245,2.55
1204,202111271300,2.25
1205,202111271315,2.75
1206,202111271330,2.45
1207,202111271345,2.1
1208,202111271400,2.4000000000000004
1209,202111271415,1.5
1210,202111271430,0.9
1211,202111271445,0.35
1212,202111271500,0.05
1213,202111271515,0.0
1214,202111271530,0.0
